           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      170115839        4162032        9499999        2158666        1488501              0              0         670165      13.001217           -nan           -nan     342.101227      17.906933      100524750       7.325378      10.581554      24.133083        7492050         150717        2007949         837181         837386         150717         150567        2007949         519598        1039606
              1              1      221821030        6901416       12200000        2735030        1891876              0              0         843154      13.001520           -nan           -nan     350.234894      18.182051      126473100       7.815404      10.366648      24.205078        9654088         189118        2545912        1050709        1050945         189118         188947        2545912         654207        1308890
              2              1      228567042        8118744       11700000        2693709        1840300              0              0         853409      13.002642           -nan           -nan     358.129272      19.535645      128011350       8.594504      10.941141      26.122286        9198956         192665        2501044        1070316        1070604         192665         192463        2501044         660946        1322468
              3              1      222447432        9338488       11400000        2580619        1781026              0              0         799593      13.001766           -nan           -nan     366.150970      19.512932      119938950       8.991972      10.520961      25.681732        8999088         179707        2400912         998207         998438         179707         179506        2400912         620087        1240636
              4              1      216157604        6636552       11700000        2645943        1821007              0              0         824936      13.003015           -nan           -nan     350.399597      18.475008      123740400       7.898906      10.576102      24.705748        9239585         185528        2460415        1030216        1030533         185528         185422        2460415         639514        1279662
              5              1      199215576        4973544       11300000        2529960        1748245              0              0         781715      13.001438           -nan           -nan     342.110626      17.629698      117257250       7.252949      10.376748      23.666637        8945385         175345        2354615         974150         974400         175345         175238        2354615         606477        1213454
              6              1      197444130        6063668       10700000        2427363        1673827              0              0         753536      13.000871           -nan           -nan     350.209412      18.452723      113030400       7.889133      10.563589      24.663122        8442060         169423        2257940         941177         941407         169423         169248        2257940         584288        1169036
              7              1      202567346        7273332       10500000        2398870        1643991              0              0         754879      13.000760           -nan           -nan     357.835754      19.292128      113231850       8.508142      10.783985      25.725971        8271270         170140        2228730         945318         945523         170140         169901        2228730         584978        1170366
              8              1      216935954        7697532       11159944        2573114        1765377              0              0         807737      13.002347           -nan           -nan     358.262634      19.438803      121160550       8.582068      10.856735      25.930416        8769042         182212        2390902        1011607        1011461         182212         181977        2390902         625760        1246032
              9              1      201128156        6111636       10800000        2466351        1696411              0              0         769940      13.001606           -nan           -nan     350.108002      18.622978      115491000       7.929366      10.693611      24.959457        8507007         173358        2292993         962901         963163         173358         173229        2292993         596711        1193946
             10              1      226751798        5400500       12300000        2851970        1952087              0              0         899883      13.002148           -nan           -nan     342.276520      18.435104      134982450       7.460922      10.974183      25.041368        9651395         203365        2648605        1128414        1128815         203365         203145        2648605         696738        1394278
             11              1      249763646        7779636       13700000        3077824        2126354              0              0         951470      13.001250           -nan           -nan     349.955688      18.230923      142720500       7.813368      10.417555      24.304552       10835649         213473        2864351        1186372        1186645         213473         213346        2864351         738124        1476794
             12              1      247819700       10416604       12700000        2874904        1983571              0              0         891333      13.000551           -nan           -nan     366.032471      19.513361      133699950       8.985807      10.527555      25.689514       10025258         200162        2674742        1113127        1113309         200162         199965        2674742         691368        1383100
             13              1      221664704        8186856       11800000        2652395        1832963              0              0         819432      13.002131           -nan           -nan     357.936066      18.785145      122914800       8.368636      10.416509      24.856293        9331632         184027        2468368        1021492        1021808         184027         183861        2468368         635571        1271774
             14              1      201666112        6232520       11000000        2485268        1716795              0              0         768473      13.001837           -nan           -nan     350.137726      18.333282      115270950       7.854105      10.479177      24.461035        8687324         172592        2312676         958936         959158         172592         172418        2312676         596055        1192554
             15              1      187209926        4616788       10500000        2373089        1636395              0              0         736694      13.001460           -nan           -nan     342.147186      17.829515      110504100       7.305316      10.524199      24.005503        8292443         165532        2207557         919779         919977         165532         165362        2207557         571332        1143062
