           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      124890689        5066791        7199999        1620399        1117639           3988              0         498772      13.000000      37.860580           -nan     337.403442      17.345932       74815800       6.954846      10.391085      23.373253        5692987         113387        1507012         628529         628654         112895         112325        1503516         386447         776451
              1              1      192552005        8643416       10700000        2416998        1664529           6327              0         746142      12.999999      38.216690           -nan     345.435089      17.995514      111921300       7.535580      10.459934      24.088190        8452807         169805        2247193         941645         941827         169098         168284        2241573         577858        1162183
              2              1      205645637       10413200       11159944        2508571        1730719           6149              0         771703      13.000001      37.055618           -nan     353.399902      18.427120      115755450       8.054716      10.372404      24.437378        8826573         175200        2333371         971871         971600         174457         173637        2327965         598066        1195737
              3              1      167676749        9355547        8800000        1984023        1367429           5297              0         611297      12.999999      38.242592           -nan     361.435150      19.054176       91694550       8.634341      10.419835      25.107298        6955111         139134        1844889         771362         771516         138503         137766        1840223         473531         952470
              4              1      196504006        8865760       10900000        2469397        1701468           6212              0         761717      13.000000      37.428848           -nan     345.427704      18.027889      114257550       7.545547      10.482345      24.139280        8603953         173350        2296047         961195         961378         172609         171709        2290576         590008        1185620
              5              1      257037155       10331505       15000000        3348135        2317077           8289              0        1022769      13.000000      38.030041           -nan     337.377930      17.135811      153415350       6.908121      10.227690      23.003979       11883915         232050        3116085        1286432        1286699         230997         229899        3108849         792870        1593350
              6              1      272695691       12373895       15100000        3427346        2361296           8627              0        1057423      13.000000      38.041149           -nan     345.430481      18.059317      158613450       7.555115      10.504203      24.189812       11913264         240610        3186736        1334260        1334534         239556         238441        3179163         818982        1646105
              7              1      199742173        9802915       10700000        2440473        1683023           6097              0         751353      13.000001      37.388718           -nan     353.441437      18.667494      112702950       8.134507      10.532987      24.818624        8430746         171219        2269254         948151         948440         170477         169661        2263899         581692        1169116
              8              1      217135857       10911229       11600000        2640432        1815769           6883              0         817780      12.999999      38.568211           -nan     353.461426      18.718609      122667000       8.143867      10.574741      24.918423        9145957         186389        2454043        1033074        1033343         185604         184740        2447945         633040        1272826
              9              1      267915376       12209361       15000000        3381008        2336654           8898              0        1035456      13.000000      37.693188           -nan     345.417755      17.861025      155318400       7.506465      10.354560      23.844326       11854435         235443        3145565        1305302        1305564         234413         233261        3137697         802195        1613212
             10              1      296902495       11446235       16700000        3838876        2636081           9621              0        1193174      13.000000      38.841595           -nan     337.463348      17.778593      178976100       7.061460      10.717132      24.110928       13133113         271989        3566887        1509295        1509552         270854         269664        3558401         923510        1855835
             11              1      204423523        8990214       11100000        2558797        1755903           6145              0         796749      13.000001      37.600487           -nan     345.471985      18.416533      119512350       7.649655      10.766878      24.797699        8722927         181724        2377073        1007914        1008100         180943         180076        2371709         616673        1238480
             12              1      154212224        8623473        8100000        1834357        1268114           4580              0         561663      13.000000      39.344978           -nan     361.425018      19.038546       84249450       8.637380      10.401166      25.061611        6393312         127669        1706688         707979         708121         127145         126556        1702632         435107         874419
             13              1      225879682       11261091       11900000        2729194        1867866           7094              0         854234      13.000000      37.121792           -nan     353.482483      18.981485      128135100       8.213831      10.767655      25.374517        9365721         194915        2534279        1081431        1081651         194134         193298        2527966         660936        1328877
             14              1      205554801        9157168       11300000        2584153        1779497           6249              0         798407      12.999999      37.392704           -nan     345.439331      18.190691      119761050       7.592368      10.598323      24.407185        8897712         181865        2402288        1008081        1008321         181080         180241        2396824         618166        1241817
             15              1      135434269        5323081        7700000        1753988        1206737           4525              0         542726      13.000000      38.746300           -nan     337.448761      17.588867       81408900       7.016282      10.572584      23.784704        6069699         123687        1630301         685690         685830         123189         122552        1626274         420174         844921
