           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       28652330          34840        4999999        1286623        1278739           5240              0           2644      13.000000      67.366409           -nan     352.569977       5.730467         396600       5.651147       0.079320       0.186439        3838384         125008        1161615           5698          31556         119938           2588        1161445             56           2348
              1              1       62652378          53538       11000000        2845519        2829113          13257              0           3149      13.000000      51.649845           -nan     380.468079       5.695671         472350       5.652730       0.042941       0.108918        8412571         258090        2587429          11810          63449         245156           3055        2587106             94           4573
              2              1       43046799         150243        7000000        1569555        1538820           7099              0          23636      13.000000      55.436962           -nan     418.964996       6.149543        3545400       5.643057       0.506486       1.414665        5574794         144349        1425206           6176          23733         137453          23588        1425003             48           3522
              3              1       59216195         153024        7000000        2048336        1968465           7878              0          71993      12.999999      59.998730           -nan     404.170380       8.459456       10798950       6.916749       1.542707       4.156777        5085761         134097        1914239          74310          97421         126506           4792        1913952          67201         137919
              4              1       44441981          45996        8000000        1922285        1908747          10095              0           3443      13.000001      56.551361           -nan     389.395599       5.555247         516450       5.490692       0.064556       0.167586        6263882         186167        1736118           9043          42442         176362           3389        1735828             54           3389
              5              1       42376181          34081        7391214        1935961        1923576           9695              0           2690      13.000000      43.321712           -nan     367.074341       5.733318         403500       5.678726       0.054592       0.133595        5606424         151171        1784790           6716          40666         141755           2645        1784511             45           3417
              6              1       37585885          47037        7000000        1566167        1554905           8036              0           3226      12.999999      43.036087           -nan     374.669250       5.369412         483900       5.300283       0.069129       0.172669        5581440         147607        1418560           7606          31289         139850           3191        1418281             35           3213
              7              1       48893313          78900        9000000        2043280        2027717          11818              0           3745      12.999999      63.349636           -nan     394.103058       5.432590         561750       5.370174       0.062417       0.163991        7149959         193239        1850041           9540          44597         181777           3699        1849685             46           4299
              8              1       60051536         150274       10000000        2521838        2488639          12759              0          20440      13.000000      50.102047           -nan     376.296051       6.005154        3066000       5.698554       0.306600       0.769149        7722386         244224        2277614          18144          64461         231861          13569        2277218           6871          18441
              9              1       50494195          59537        9000000        2215950        2200190          11298              0           4462      13.000000      44.009293           -nan     383.607788       5.610466         669300       5.536099       0.074367       0.190184        6990628         206578        2009372          10081          53315         195648           4386        2009004             76           4420
             10              1       66037062          89028       11000000        2717543        2682142          12118              0          23283      13.000001      42.338341           -nan     399.486267       6.003369        3492450       5.685874       0.317495       0.845567        8524181         241724        2475819          11140          50372         230015          23182        2475410            101           5065
             11              1      116188513         177280       14000000        3823050        3643741          17657              0         161652      13.000000      53.737782           -nan     380.991180       8.299179       24247800       6.567194       1.731986       4.399142       10583488         406538        3416512          87797         151050         389948          94067        3415445          67585         142295
             12              1       84984182         210660       13000000        3239086        3173440          15622              0          50024      13.000000      49.862759           -nan     423.224121       6.537245        7503600       5.960045       0.577200       1.628567       10073560         312646        2926440          28389          79920         297799          37020        2925665          13004          32484
             13              1       37740328          83496        7000000        1539345        1526306           8938              0           4101      13.000000      55.268963           -nan     399.302856       5.391475         615150       5.303596       0.087879       0.233934        5604679         144024        1395321           6539          30038         135317           4043        1395090             58           3689
             14              1       55219683         183583        9000000        2212816        2177749          10156              0          24911      13.000000      53.389328           -nan     391.065063       6.135520        3736650       5.720337       0.415183       1.082425        6989014         201830        2010986          11479          41237         191978          22497        2010682           2414           8432
             15              1       39433883          36979        7000000        1752152        1741498           8372              0           2282      13.000000      60.458073           -nan     388.698517       5.633412         342300       5.584512       0.048900       0.126716        5400989         153141        1599011           7245          38531         144998           2230        1598782             52           3016
