           tile     partscheme          cycle    flushcycles       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1       73387886        2723624        9168069        2100583        1955923           6862              0         137798      13.000001      58.137280           -nan     341.290802       8.004726       20669700       5.750195       2.254531       5.129673        7424367         356881        1743702         129035         261782         352047         111506        1741674          26292         131367
              1              1       95787409        3834980       11900000        2660446        2473819           9216              0         177411      13.000000      50.545574           -nan     349.780579       8.049362       26611650       5.813089       2.236273       5.214699        9661985         422431        2238015         180055         329876         416579         137423        2234651          39988         171786
              2              1       92658744        3745498       11200000        2528894        2349826           8484              0         170584      13.000000      54.397453           -nan     358.906921       8.273102       25587600       5.988495       2.284607       5.466409        9084171         413065        2115829         166217         314523         407184         131606        2113226          38978         164790
              3              1       94748865        4261924       11300000        2539541        2359914           8427              0         171200      13.000000      58.364899           -nan     367.854919       8.384855       25680000       6.112289       2.272566       5.573165        9170854         410395        2129146         167720         314799         404722         133486        2126392          37714         165547
              4              1       89496598        3282062       11100000        2498988        2324976           8857              0         165155      13.000000      50.518120           -nan     349.942078       8.062757       24773250       5.830932       2.231824       5.206728        9005290         404278        2094710         165798         310377         398703         128497        2091428          36658         160160
              5              1       87185910        2592435       11000000        2482703        2310413           8906              0         163384      13.000000      43.943184           -nan     341.005798       7.925992       24507600       5.698029       2.227964       5.064990        8923587         406290        2076413         161497         308011         400418         127692        2073379          35692         157297
              6              1       81515944        2661692       10200000        2253302        2094431           7934              0         150937      13.000001      44.792286           -nan     349.373688       7.991759       22640550       5.772097       2.219662       5.169943        8291746         345048        1908254         159563         278294         339685         113394        1905683          37543         146199
              7              1       84022946        3320388       10200000        2308322        2146827           8418              0         153077      13.000000      51.734142           -nan     359.069031       8.237543       22961550       5.986412       2.251132       5.388746        8270421         378743        1929579         150433         286997         373234         119983        1926670          33094         148760
              8              1       85855671        3485874       10500000        2331114        2164851           9435              0         156828      13.000000      52.485531           -nan     358.577209       8.176731       23524200       5.936331       2.240400       5.355710        8529619         360733        1970381         164414         289160         355493         119571        1966186          37257         153940
              9              1       83456559        2823981       10400000        2321777        2159158           8500              0         154119      13.000000      42.744469           -nan     349.777496       8.024670       23117850       5.801799       2.222870       5.183400        8444368         366145        1955632         159088         287935         361107         118788        1952170          35331         149972
             10              1       92560087        2682162       11700000        2650034        2467453          10668              0         171913      13.000000      45.649044           -nan     341.063599       7.911119       25786950       5.707106       2.204013       5.011390        9486930         436964        2213070         170701         329172         429847         135515        2209519          36398         166323
             11              1      109823229        4150304       13600000        3056900        2842428          11044              0         203428      13.000000      52.384644           -nan     349.893005       8.075237       30514200       5.831546       2.243691       5.233679       11036369         493269        2563631         203253         379211         485954         157729        2559902          45699         197337
             12              1      102788164        4976090       12300000        2791230        2598485           9675              0         183070      13.000000      55.928993           -nan     368.170288       8.356761       27460500       6.124200       2.232561       5.479751        9970523         461753        2329477         179249         346658         455415         144509        2326140          38561         176130
             13              1       93947631        3812185       11400000        2571129        2390052           9137              0         171940      13.000000      50.509686           -nan     358.961487       8.241020       25791000       5.978652       2.262368       5.414021        9248051         419180        2151949         168965         320181         413097         133492        2148895          38448         166616
             14              1       85653257        3270999       10600000        2400521        2233972           8708              0         157841      13.000000      49.279743           -nan     350.100464       8.080496       23676150       5.846897       2.233599       5.213227        8595080         395601        2004920         155210         298210         389941         124248        2001872          33593         153051
             15              1       79207493        2947797       10000000        2242944        2086343           8022              0         148579      13.000001      56.533283           -nan     340.877289       7.920750       22286850       5.692064       2.228685       5.064721        8115611         358555        1884389         150834         278215         353199         114931        1881723          33648         144626
